Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal_Price,Price_Date
275,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,22 Apr 12
276,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,22 Apr 11
277,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,22 Apr 10
278,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,21 May 13
279,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,21 May 12
280,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,21 May 11
281,Bhatinda,Bhucho,Wheat,Other,FAQ,1525,1525,1525,21 Apr 16
282,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,21 Apr 14
283,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,21 Apr 13
284,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,21 Apr 12
285,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,21 Apr 11
286,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,21 Apr 10
287,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,20 May 13
288,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,20 May 12
289,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,20 May 11
290,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,20 Apr 15
291,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,20 Apr 14
292,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,20 Apr 13
293,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,20 Apr 12
294,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,20 Apr 11
295,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,20 Apr 10
296,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,19 May 15
297,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,19 May 14
298,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,19 May 12
299,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,19 May 11
300,Bhatinda,Bhucho,Wheat,Other,FAQ,1525,1525,1525,19 Apr 16
301,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,19 Apr 14
302,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,19 Apr 13
303,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,19 Apr 12
304,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,19 Apr 11
305,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,19 Apr 10
306,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,18 May 13
307,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,18 May 12
308,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,18 May 11
309,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,18 Apr 17
310,Bhatinda,Bhucho,Wheat,Other,FAQ,1525,1525,1525,18 Apr 16
311,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,18 Apr 15
312,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,18 Apr 14
313,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,18 Apr 12
314,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,18 Apr 11
315,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,18 Apr 10
316,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,17 May 14
317,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,17 May 13
318,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,17 May 12
319,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,17 May 11
320,Bhatinda,Bhucho,Wheat,Other,FAQ,1000,1000,1000,17 Mar 11
321,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,17 Feb 11
322,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,17 Apr 17
323,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,17 Apr 14
324,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,17 Apr 11
325,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,17 Apr 10
326,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,16 May 13
327,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,16 May 12
328,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,16 May 11
329,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,16 Apr 17
330,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,16 Apr 14
331,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,16 Apr 11
332,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,16 Apr 10
333,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,15 May 12
334,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,15 May 11
335,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,15 Apr 14
336,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,15 Apr 13
337,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,15 Apr 11
338,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,14 May 15
339,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,14 May 14
340,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,14 May 13
341,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,14 May 12
342,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,14 May 11
343,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,14 Feb 11
344,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,14 Apr 10
345,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,13 May 14
346,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,13 May 13
347,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,13 May 12
348,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,13 May 11
349,Bhatinda,Bhucho,Wheat,Other,FAQ,1110,1150,1110,13 Feb 11
350,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,13 Apr 17
351,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,13 Apr 10
352,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,12 May 15
353,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,12 May 14
354,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,12 May 12
355,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,12 May 11
356,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,12 Apr 13
357,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,12 Apr 10
358,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,11 May 15
359,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,11 May 14
360,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,11 May 12
361,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,11 May 11
362,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,11 Feb 11
363,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,11 Apr 17
364,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,11 Apr 13
365,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,11 Apr 10
366,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1425,1400,10 May 14
367,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,10 May 12
368,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,10 May 11
369,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,10 May 10
370,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,10 Feb 11
371,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,9 May 15
372,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1425,1400,9 May 14
373,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,9 May 12
374,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,9 May 11
375,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,9 Feb 11
376,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,9 Apr 10
377,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,8 May 15
378,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1425,1400,8 May 14
379,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,8 May 12
380,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,8 May 11
381,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,8 May 10
382,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,8 Feb 11
383,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1425,1400,7 May 14
384,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,7 May 13
385,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,7 May 12
386,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,7 May 11
387,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,7 May 10
388,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,7 Feb 11
389,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,6 May 15
390,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1425,1400,6 May 14
391,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,6 May 12
392,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,6 May 11
393,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,6 May 10
394,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,6 Feb 11
395,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,5 May 15
396,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1425,1400,5 May 14
397,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,5 May 12
398,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,5 May 11
399,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,5 May 10
400,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,4 May 15
401,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1425,1400,4 May 14
402,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,4 May 12
403,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,4 May 11
404,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,4 May 10
405,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1425,1400,3 May 14
406,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,3 May 13
407,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,3 May 12
408,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,3 May 11
409,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,3 May 10
410,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,2 May 15
411,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1450,1400,2 May 14
412,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,2 May 12
413,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,2 May 11
414,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,1 May 15
415,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1450,1400,1 May 14
416,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,1 May 11
417,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,1 May 10
418,Bhatinda,Goniana,Wheat,Other,FAQ,1400,1400,1400,25 Apr 14
419,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,25 Apr 12
420,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,24 Apr 12
421,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,23 Apr 12
422,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,22 May 12
423,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,22 Apr 12
424,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,21 May 12
425,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,21 Apr 12
426,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,20 Apr 12
427,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,19 Apr 12
428,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,18 May 12
429,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,18 Apr 12
430,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,17 May 12
431,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,17 Apr 12
432,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,16 May 12
433,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,15 May 12
434,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,14 May 12
435,Bhatinda,Goniana,Wheat,Other,FAQ,1350,1350,1350,14 Apr 13
436,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,12 May 12
437,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,11 May 12
438,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,10 May 12
439,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,9 May 12
440,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,8 May 12
441,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1350,1350,1350,29 Apr 13
442,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1350,1350,1350,27 Apr 13
443,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,26 Apr 14
444,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1350,1350,1350,26 Apr 13
445,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,25 Apr 14
446,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1350,1350,1350,24 Apr 13
447,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,23 Apr 14
448,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,22 Apr 14
449,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1350,1350,1350,22 Apr 13
450,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,20 Apr 14
451,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1350,1350,1350,20 Apr 13
452,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,19 Apr 14
453,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1350,1350,1350,18 Apr 13
454,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,16 Apr 14
455,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1350,1350,1350,11 May 13
456,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,10 May 14
457,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,9 May 14
458,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,8 May 14
459,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,7 May 14
460,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,6 May 14
461,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,5 May 14
462,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1350,1350,1350,4 May 13
463,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,2 May 14
464,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1350,1350,1350,1 May 13
465,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,30 Apr 17
466,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,30 Apr 16
467,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,30 Apr 13
468,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,30 Apr 12
469,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,30 Apr 10
470,Bhatinda,Maur,Wheat,Other,FAQ,1120,1140,1130,29 Jun 10
471,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,29 Apr 16
472,Bhatinda,Maur,Wheat,Other,FAQ,1450,1450,1450,29 Apr 15
473,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,29 Apr 14
474,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,29 Apr 13
475,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,29 Apr 12
476,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,29 Apr 10
477,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,28 May 12
478,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,28 Apr 16
479,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,28 Apr 14
480,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,28 Apr 13
481,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,28 Apr 12
482,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,28 Apr 10
483,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,27 May 14
484,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,27 May 12
485,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,27 Apr 17
486,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,27 Apr 16
487,Bhatinda,Maur,Wheat,Other,FAQ,1450,1450,1450,27 Apr 15
488,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,27 Apr 14
489,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,27 Apr 13
490,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,0,27 Apr 12
491,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,27 Apr 10
492,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,26 May 14
493,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,26 May 12
494,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,26 Apr 17
495,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,26 Apr 16
496,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,26 Apr 14
497,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,26 Apr 13
498,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,26 Apr 12
499,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,26 Apr 10
500,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,25 May 14
501,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,25 May 12
502,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,25 May 10
503,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,25 Apr 17
504,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,25 Apr 16
505,Bhatinda,Maur,Wheat,Other,FAQ,1450,1450,1450,25 Apr 15
506,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,25 Apr 13
507,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,25 Apr 12
508,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,25 Apr 10
509,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,24 May 14
510,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,24 May 12
511,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,24 Apr 17
512,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,24 Apr 16
513,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,24 Apr 14
514,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,24 Apr 13
515,Bhatinda,Maur,Wheat,Other,FAQ,1282,1285,1285,24 Apr 12
516,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,24 Apr 10
517,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,23 May 14
518,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,23 May 12
519,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,23 Apr 17
520,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,23 Apr 16
521,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,23 Apr 14
522,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,23 Apr 13
523,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,23 Apr 12
524,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,23 Apr 10
525,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,22 May 14
526,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,22 May 13
527,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,22 May 12
528,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,22 Apr 17
529,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,22 Apr 16
530,Bhatinda,Maur,Wheat,Other,FAQ,1450,1450,1450,22 Apr 15
531,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,22 Apr 13
532,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,22 Apr 12
533,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,22 Apr 10
534,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,21 May 14
535,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,21 May 13
536,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,21 May 12
537,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,21 Apr 17
538,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,21 Apr 16
539,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,21 Apr 14
540,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,21 Apr 13
541,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,21 Apr 12
542,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,21 Apr 10
543,Bhatinda,Maur,Wheat,Other,FAQ,1280,1280,1280,20 Oct 12
544,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,20 May 14
545,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,20 May 12
546,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,20 Apr 17
547,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,20 Apr 16
548,Bhatinda,Maur,Wheat,Other,FAQ,1450,1450,1450,20 Apr 15
549,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,20 Apr 14
550,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,20 Apr 13
551,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,20 Apr 10
552,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,19 May 14
553,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,19 May 13
554,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,19 May 12
555,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,19 Apr 17
556,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,19 Apr 16
557,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,19 Apr 14
558,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,19 Apr 13
559,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,19 Apr 10
560,Bhatinda,Maur,Wheat,Other,FAQ,1280,1280,1280,18 Oct 12
561,Bhatinda,Maur,Wheat,Other,FAQ,1280,1280,1280,18 Nov 12
562,Bhatinda,Maur,Wheat,Other,FAQ,1450,1450,1450,18 May 15
563,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,18 May 14
564,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,18 May 13
565,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,18 May 12
566,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,18 May 10
567,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,18 Apr 17
568,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,18 Apr 16
569,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,18 Apr 14
570,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,18 Apr 13
571,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,18 Apr 10
572,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,17 May 14
573,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,17 May 12
574,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,17 May 10
575,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,17 Apr 17
576,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,17 Apr 16
577,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,17 Apr 14
578,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,17 Apr 13
579,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,17 Apr 10
580,Bhatinda,Maur,Wheat,Other,FAQ,1450,1450,1450,16 May 15
581,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,16 May 13
582,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,16 May 12
583,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,16 May 10
584,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,16 Apr 17
585,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,16 Apr 16
586,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,16 Apr 13
587,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,16 Apr 10
588,Bhatinda,Maur,Wheat,Other,FAQ,1450,1450,1450,15 May 15
589,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,15 May 14
590,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,15 May 13
591,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,15 May 12
