,Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
1547,1548,Bhatinda,Sangat,Wheat,Other,FAQ,1450,1450,1450,2015-05-20
1534,1535,Bhatinda,Sangat,Wheat,Other,FAQ,1450,1450,1450,2015-05-21
1635,1636,Bhatinda,Sangat,Wheat,Other,FAQ,1525,1525,1525,2016-04-11
1345,1346,Bhatinda,Rampuraphul(Mehraj),Wheat,Other,FAQ,1525,1525,1525,2016-04-12
956,957,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1525,1525,1525,2016-04-13
604,605,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,2016-04-14
113,114,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,2016-04-15
799,800,Bhatinda,Raman,Wheat,Other,FAQ,1525,1525,1525,2016-04-16
793,794,Bhatinda,Raman,Wheat,Other,FAQ,1525,1525,1525,2016-04-17
102,103,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,2016-04-18
555,556,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,2016-04-19
1044,1045,Bhatinda,Rampuraphul(Bhai Rupan),Wheat,Other,FAQ,1525,1525,1525,2016-04-20
924,925,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1525,1525,1525,2016-04-21
1410,1411,Bhatinda,Rampuraphul(Nabha Mandi),Wheat,Other,FAQ,1525,1525,1525,2016-04-22
1220,1221,Bhatinda,Rampuraphul(Dhapali),Wheat,Other,FAQ,1525,1525,1525,2016-04-23
1403,1404,Bhatinda,Rampuraphul(Nabha Mandi),Wheat,Other,FAQ,1525,1525,1525,2016-04-24
1738,1739,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1525,1525,1525,2016-04-25
494,495,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,2016-04-26
1726,1727,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1525,1525,1525,2016-04-27
477,478,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,2016-04-28
696,697,Bhatinda,Raman,Wheat,Other,FAQ,1525,1525,1525,2016-04-29
692,693,Bhatinda,Raman,Wheat,Other,FAQ,1525,1525,1525,2016-04-30
1377,1378,Bhatinda,Rampuraphul(Mehraj),Wheat,Other,FAQ,1525,1525,1525,2016-05-01
1855,1856,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1525,1525,1525,2016-05-02
671,672,Bhatinda,Maur,Wheat,Other,FAQ,1525,1525,1525,2016-05-03
858,859,Bhatinda,Raman,Wheat,Other,FAQ,1525,1525,1525,2016-05-04
1947,1948,Bhatinda,Talwandi Sabo(Kot Fatta),Wheat,Other,FAQ,1525,1525,1525,2016-05-05
134,135,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,2016-05-06
1659,1660,Bhatinda,Sangat,Wheat,Other,FAQ,1525,1525,1525,2016-05-07
833,834,Bhatinda,Raman,Wheat,Other,FAQ,1525,1525,1525,2016-05-08
827,828,Bhatinda,Raman,Wheat,Other,FAQ,1525,1525,1525,2016-05-09
1816,1817,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1525,1525,1525,2016-05-10
816,817,Bhatinda,Raman,Wheat,Other,FAQ,1525,1525,1525,2016-05-11
808,809,Bhatinda,Raman,Wheat,Other,FAQ,1525,1525,1525,2016-05-13
1582,1583,Bhatinda,Sangat,Wheat,Other,FAQ,1525,1525,1525,2016-05-16
655,656,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,2017-04-06
643,644,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,2017-04-08
1437,1438,Bhatinda,Rampuraphul(Nabha Mandi),Wheat,Other,FAQ,1625,1625,1625,2017-04-11
616,617,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,2017-04-12
955,956,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1625,1625,1625,2017-04-13
1797,1798,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1625,1625,1625,2017-04-14
1240,1241,Bhatinda,Rampuraphul(Dhapali),Wheat,Other,FAQ,1625,1625,1625,2017-04-15
328,329,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,2017-04-16
169,170,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,2017-04-17
1776,1777,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1625,1625,1625,2017-04-18
96,97,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,2017-04-19
184,185,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,2017-04-20
1980,1981,Bhatinda,Talwandi Sabo(Shekhupura),Wheat,Other,FAQ,1625,1625,1625,2017-04-21
1751,1752,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1625,1625,1625,2017-04-22
1888,1889,Bhatinda,Talwandi Sabo(Kot Fatta),Wheat,Other,FAQ,1625,1625,1625,2017-04-23
10,11,Bhatinda,Bathinda,Wheat,Other,FAQ,1625,1625,1625,2017-04-24
1971,1972,Bhatinda,Talwandi Sabo(Shekhupura),Wheat,Other,FAQ,1625,1625,1625,2017-04-25
1732,1733,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1625,1625,1625,2017-04-26
1489,1490,Bhatinda,Sangat,Wheat,Other,FAQ,1625,1625,1625,2017-04-27
161,162,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,2017-04-28
886,887,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1625,1625,1625,2017-04-29
464,465,Bhatinda,Maur,Wheat,Other,FAQ,1625,1625,1625,2017-04-30
1702,1703,Bhatinda,Sangat,Wheat,Other,FAQ,1625,1625,1625,2017-05-01
991,992,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1625,1625,1625,2017-05-02
1849,1850,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1625,1625,1625,2017-05-03
1261,1262,Bhatinda,Rampuraphul(Dhapali),Wheat,Other,FAQ,1625,1625,1625,2017-05-04
979,980,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1625,1625,1625,2017-05-05
1941,1942,Bhatinda,Talwandi Sabo(Kot Fatta),Wheat,Other,FAQ,1625,1625,1625,2017-05-06
1645,1646,Bhatinda,Sangat,Wheat,Other,FAQ,1625,1625,1625,2017-05-09
963,964,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1625,1625,1625,2017-05-10
1628,1629,Bhatinda,Sangat,Wheat,Other,FAQ,1625,1625,1625,2017-05-11
1619,1620,Bhatinda,Sangat,Wheat,Other,FAQ,1625,1625,1625,2017-05-12
